id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1162,event-139,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.867576,5202.3460
1163,event-140,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.868519,5203.2890
1164,event-141,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.869668,5204.4380
1165,event-142,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.870780,5205.5500
1166,event-143,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.871765,5206.5350
1167,event-144,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.873527,5208.2970
1168,event-145,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.875217,5209.9870
1169,event-146,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.876540,5211.3100
1170,event-147,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.877638,5212.4080
1171,event-148,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.878778,5213.5480
1172,event-149,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.879779,5214.5490
1173,event-150,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.883509,5218.2790
1174,event-151,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.885727,5220.4970
1175,event-152,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.887350,5222.1200
1176,event-153,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.889035,5223.8050
1177,event-154,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.890874,5225.6440
1178,event-155,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.892486,5227.2560
1179,event-156,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.893926,5228.6960
1180,event-157,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.894993,5229.7630
1181,event-158,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.895965,5230.7350
1182,event-159,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.897964,5232.7340
1183,event-160,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.899215,5233.9850
1184,event-161,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.900349,5235.1190
1185,event-162,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.901414,5236.1840
1186,event-163,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.902502,5237.2720
1187,event-164,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.903595,5238.3650
1188,event-165,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.904733,5239.5030
1189,event-166,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.906205,5240.9750
1190,event-167,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.907452,5242.2220
1191,event-168,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.908424,5243.1940
1192,event-169,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.909304,5244.0740
1193,event-170,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.910691,5245.4610
1194,event-171,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.911790,5246.5600
1195,event-172,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.912700,5247.4700
1196,event-173,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.913970,5248.7400
1197,event-174,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.915031,5249.8010
1198,event-175,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.916146,5250.9160
1199,event-176,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.916973,5251.7430
1200,event-177,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.917925,5252.6950
1201,event-178,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.918871,5253.6410
1202,event-179,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.920233,5255.0030
1203,event-180,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.923357,5258.1270
1204,event-181,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.924647,5259.4170
1205,event-182,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.925865,5260.6350
1206,event-183,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.926900,5261.6700
